director_name,movie_title,actor_1_name,actor_2_name,actor_3_name,genres
Barry Sonnenfeld,men in black 3,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action Adventure Comedy Family Fantasy Sci-Fi
Peter Jackson,the hobbit: the battle of the five armies,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy
Marc Webb,the amazing spider-man,Emma Stone,Andrew Garfield,Chris Zylka,Action Adventure Fantasy
Ridley Scott,robin hood,Mark Addy,William Hurt,Scott Grimes,Action Adventure Drama History
Peter Jackson,the hobbit: the desolation of smaug,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy
Chris Weitz,the golden compass,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure Family Fantasy
Peter Jackson,king kong,Naomi Watts,Thomas Kretschmann,Evan Parke,Action Adventure Drama Romance
James Cameron,titanic,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama Romance
Anthony Russo,captain america: civil war,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action Adventure Sci-Fi
Peter Berg,battleship,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action Adventure Sci-Fi Thriller
Colin Trevorrow,jurassic world,Bryce Dallas Howard,Judy Greer,Omar Sy,Action Adventure Sci-Fi Thriller
Sam Mendes,skyfall,Albert Finney,Helen McCrory,Rory Kinnear,Action Adventure Thriller
Sam Raimi,spider-man 2,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance
Shane Black,iron man 3,Robert Downey Jr.,Jon Favreau,Don Cheadle,Action Adventure Sci-Fi
Tim Burton,alice in wonderland,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy
Brett Ratner,x-men: the last stand,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action Adventure Fantasy Sci-Fi Thriller
Dan Scanlon,monsters university,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure Animation Comedy Family Fantasy
Michael Bay,transformers: revenge of the fallen,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action Adventure Sci-Fi
Michael Bay,transformers: age of extinction,Bingbing Li,Sophia Myles,Kelsey Grammer,Action Adventure Sci-Fi
Sam Raimi,oz the great and powerful,Tim Holmes,Mila Kunis,James Franco,Adventure Family Fantasy
Marc Webb,the amazing spider-man 2,Emma Stone,Andrew Garfield,B.J. Novak,Action Adventure Fantasy Sci-Fi
Joseph Kosinski,tron: legacy,Jeff Bridges,Olivia Wilde,James Frain,Action Adventure Sci-Fi
John Lasseter,cars 2,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure Animation Comedy Family Sport
Martin Campbell,green lantern,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action Adventure Sci-Fi
Lee Unkrich,toy story 3,Tom Hanks,John Ratzenberger,Don Rickles,Adventure Animation Comedy Family Fantasy
McG,terminator salvation,Christian Bale,Bryce Dallas Howard,Common,Action Adventure Sci-Fi
James Wan,furious 7,Jason Statham,Paul Walker,Vin Diesel,Action Crime Thriller
Marc Forster,world war z,Peter Capaldi,Brad Pitt,Mireille Enos,Action Adventure Horror Sci-Fi Thriller
Bryan Singer,x-men: days of future past,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller
J.J. Abrams,star trek into darkness,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Action Adventure Sci-Fi
Bryan Singer,jack the giant slayer,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure Fantasy
Baz Luhrmann,the great gatsby,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Drama Romance
Mike Newell,prince of persia: the sands of time,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action Adventure Fantasy Romance
Guillermo del Toro,pacific rim,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action Adventure Sci-Fi
Michael Bay,transformers: dark of the moon,Glenn Morshower,Lester Speight,Kevin Dunn,Action Adventure Sci-Fi
Steven Spielberg,indiana jones and the kingdom of the crystal skull,Harrison Ford,Ray Winstone,Jim Broadbent,Action Adventure Fantasy
Peter Sohn,the good dinosaur,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure Animation Comedy Family Fantasy
Mark Andrews,brave,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure Animation Comedy Family Fantasy
Justin Lin,star trek beyond,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action Adventure Sci-Fi Thriller
Andrew Stanton,wall·e,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure Animation Family Sci-Fi
Brett Ratner,rush hour 3,Tzi Ma,Dana Ivey,Noémie Lenoir,Action Comedy Crime Thriller
Roland Emmerich,2012,Oliver Platt,Liam James,Tom McCarthy,Action Adventure Sci-Fi
Robert Zemeckis,a christmas carol,Robin Wright,Colin Firth,Gary Oldman,Animation Drama Family Fantasy
Lana Wachowski,jupiter ascending,Channing Tatum,Mila Kunis,Eddie Redmayne,Action Adventure Sci-Fi
David Yates,the legend of tarzan,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance
Andrew Adamson,"the chronicles of narnia: the lion, the witch and the wardrobe",Jim Broadbent,Kiran Shah,Shane Rangi,Adventure Family Fantasy
Bryan Singer,x-men: apocalypse,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action Adventure Sci-Fi
Christopher Nolan,the dark knight,Christian Bale,Heath Ledger,Morgan Freeman,Action Crime Drama Thriller
Pete Docter,up,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure Animation Comedy Family
Rob Letterman,monsters vs. aliens,Amy Poehler,Rainn Wilson,Stephen Colbert,Action Adventure Animation Comedy Family Sci-Fi
Jon Favreau,iron man,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action Adventure Sci-Fi
Martin Scorsese,hugo,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure Drama Family Mystery
Barry Sonnenfeld,wild wild west,Will Smith,Salma Hayek,Bai Ling,Action Comedy Sci-Fi Western
Rob Cohen,the mummy: tomb of the dragon emperor,Jet Li,Brendan Fraser,Russell Wong,Action Adventure Fantasy Horror Thriller
David Ayer,suicide squad,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action Adventure Comedy Sci-Fi
Tom Shadyac,evan almighty,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy Family Fantasy
Doug Liman,edge of tomorrow,Tom Cruise,Lara Pulver,Noah Taylor,Action Adventure Sci-Fi
Kevin Reynolds,waterworld,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action Adventure Sci-Fi Thriller
Stephen Sommers,g.i. joe: the rise of cobra,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action Adventure Sci-Fi Thriller
Pete Docter,inside out,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure Animation Comedy Drama Family Fantasy
Jon Favreau,the jungle book,Scarlett Johansson,Bill Murray,Garry Shandling,Adventure Drama Family Fantasy
Jon Favreau,iron man 2,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action Adventure Sci-Fi
Rupert Sanders,snow white and the huntsman,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action Adventure Drama Fantasy
Robert Stromberg,maleficent,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action Adventure Family Fantasy Romance
Matt Reeves,dawn of the planet of the apes,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Action Adventure Drama Sci-Fi
Roland Joffé,the lovers,Tamsin Egerton,Alice Englert,Bipasha Basu,Action Adventure Romance Sci-Fi
Carl Rinsch,47 ronin,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action Adventure Drama Fantasy
Anthony Russo,captain america: the winter soldier,Scarlett Johansson,Chris Evans,Hayley Atwell,Action Adventure Sci-Fi
Mike Mitchell,shrek forever after,Jon Hamm,Kathy Griffin,Mary Kay Place,Adventure Animation Comedy Family Fantasy
Brad Bird,tomorrowland,Judy Greer,Chris Bauer,Thomas Robinson,Action Adventure Family Mystery Sci-Fi
Don Hall,big hero 6,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Action Adventure Animation Comedy Drama Family Sci-Fi
Rich Moore,wreck-it ralph,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Adventure Animation Comedy Family Sci-Fi
Robert Zemeckis,the polar express,Tom Hanks,Eddie Deezen,Peter Scolari,Adventure Animation Family Fantasy
Roland Emmerich,independence day: resurgence,Vivica A. Fox,Sela Ward,Judd Hirsch,Action Adventure Sci-Fi
Dean DeBlois,how to train your dragon,Gerard Butler,America Ferrera,Craig Ferguson,Adventure Animation Family Fantasy
Jonathan Mostow,terminator 3: rise of the machines,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Action Sci-Fi
James Gunn,guardians of the galaxy,Bradley Cooper,Vin Diesel,Djimon Hounsou,Action Adventure Sci-Fi
Christopher Nolan,interstellar,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Adventure Drama Sci-Fi
Christopher Nolan,inception,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller
Hideaki Anno,godzilla resurgence,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Action Adventure Drama Horror Sci-Fi
Peter Jackson,the hobbit: an unexpected journey,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy
Rob Cohen,the fast and the furious,Paul Walker,Vin Diesel,Jordana Brewster,Action Crime Thriller
David Fincher,the curious case of benjamin button,Brad Pitt,Jason Flemyng,Julia Ormond,Drama Fantasy Romance
Matthew Vaughn,x-men: first class,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Action Adventure Sci-Fi
Francis Lawrence,the hunger games: mockingjay - part 2,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi
Jon Turteltaub,the sorcerer's apprentice,Nicolas Cage,Omar Benson Miller,Robert Capron,Action Adventure Family Fantasy
Wolfgang Petersen,poseidon,Jimmy Bennett,Mike Vogel,Andre Braugher,Action Adventure Drama Thriller
James Bobin,alice through the looking glass,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy
Chris Miller,shrek the third,Justin Timberlake,Eric Idle,Rupert Everett,Adventure Animation Comedy Family Fantasy
Duncan Jones,warcraft,Dominic Cooper,Callum Rennie,Ruth Negga,Action Adventure Fantasy
Alan Taylor,terminator genisys,J.K. Simmons,Emilia Clarke,Matt Smith,Action Adventure Sci-Fi
Michael Apted,the chronicles of narnia: the voyage of the dawn treader,Bruce Spence,Shane Rangi,Laura Brent,Adventure Family Fantasy
Michael Bay,pearl harbor,Jennifer Garner,Jaime King,Mako,Action Drama History Romance War
Michael Bay,transformers,Zack Ward,Michael O'Neill,Kevin Dunn,Action Adventure Sci-Fi
Oliver Stone,alexander,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action Adventure Biography Drama History Romance War
David Yates,harry potter and the order of the phoenix,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Adventure Family Fantasy Mystery
Mike Newell,harry potter and the goblet of fire,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery
Peter Berg,hancock,Will Smith,Charlize Theron,Eddie Marsan,Action Drama
Francis Lawrence,i am legend,Will Smith,Alice Braga,Willow Smith,Drama Horror Sci-Fi
Tim Burton,charlie and the chocolate factory,Johnny Depp,Christopher Lee,David Kelly,Adventure Comedy Family Fantasy
Brad Bird,ratatouille,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Animation Comedy Family Fantasy
Christopher Nolan,batman begins,Christian Bale,Liam Neeson,Morgan Freeman,Action Adventure
Eric Darnell,madagascar: escape 2 africa,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Action Adventure Animation Comedy Family
Shawn Levy,night at the museum: battle of the smithsonian,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy
Gavin Hood,x-men origins: wolverine,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Action Adventure Fantasy Sci-Fi Thriller
Lana Wachowski,the matrix revolutions,Essie Davis,Collin Chou,Nona Gaye,Action Sci-Fi
Chris Buck,frozen,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Adventure Animation Comedy Family Fantasy Musical
Lana Wachowski,the matrix reloaded,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Action Sci-Fi
Alan Taylor,thor: the dark world,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy
George Miller,mad max: fury road,Tom Hardy,Charlize Theron,Zoë Kravitz,Action Adventure Sci-Fi Thriller
Ron Howard,angels & demons,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Mystery Thriller
Kenneth Branagh,thor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy
Byron Howard,bolt,Chloë Grace Moretz,Diedrich Bader,James Lipton,Adventure Animation Comedy Drama Family
Hoyt Yeatman,g-force,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Action Adventure Animation Comedy Family Fantasy Sci-Fi
Jonathan Liebesman,wrath of the titans,Liam Neeson,Edgar Ramírez,Lily James,Action Adventure Fantasy
Tim Burton,dark shadows,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Comedy Fantasy Horror
Christopher McQuarrie,mission: impossible - rogue nation,Tom Cruise,Jeremy Renner,Sean Harris,Action Adventure Thriller
Joe Johnston,the wolfman,Anthony Hopkins,Simon Merrells,Art Malik,Drama Fantasy Horror Thriller
David Yates,the legend of tarzan,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance
Steve Hickner,bee movie,Matthew Broderick,Oprah Winfrey,Rip Torn,Adventure Animation Comedy Family
Jennifer Yuh Nelson,kung fu panda 2,Angelina Jolie Pitt,Gary Oldman,Mike Bell,Action Adventure Animation Comedy Family
M. Night Shyamalan,the last airbender,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,Action Adventure Family Fantasy
J.J. Abrams,mission: impossible iii,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,Action Adventure Thriller
Roland Emmerich,white house down,Channing Tatum,Jake Weber,Matt Craven,Action Drama Thriller
Simon Wells,mars needs moms,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,Action Adventure Animation Comedy Family Sci-Fi
David Bowers,flushed away,Hugh Jackman,Kate Winslet,David Suchet,Adventure Animation Comedy Family
Joe Wright,pan,Hugh Jackman,Cara Delevingne,Nonso Anozie,Adventure Family Fantasy
Rob Minkoff,mr. peabody & sherman,Ty Burrell,Zach Callison,Karan Brar,Adventure Animation Comedy Family Sci-Fi
Wolfgang Petersen,troy,Brad Pitt,Orlando Bloom,Julian Glover,Adventure
Eric Darnell,madagascar 3: europe's most wanted,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Adventure Animation Comedy Family
Lee Tamahori,die another day,Toby Stephens,Colin Salmon,Rick Yune,Action Adventure Thriller
Paul Feig,ghostbusters,Ed Begley Jr.,Kate McKinnon,Zach Woods,Action Comedy Fantasy Sci-Fi
Michael Bay,armageddon,Bruce Willis,Steve Buscemi,Will Patton,Action Adventure Sci-Fi Thriller
Barry Sonnenfeld,men in black ii,Will Smith,Rosario Dawson,Rip Torn,Action Adventure Comedy Family Fantasy Mystery Sci-Fi
Robert Zemeckis,beowulf,Robin Wright,Anthony Hopkins,Sebastian Roché,Action Adventure Animation Fantasy
Alessandro Carloni,kung fu panda 3,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,Action Adventure Animation Comedy Family
Brad Bird,mission: impossible - ghost protocol,Tom Cruise,Jeremy Renner,Michael Nyqvist,Action Adventure Thriller
Peter Ramsey,rise of the guardians,Hugh Jackman,Kamil McFadden,Khamani Griffin,Adventure Animation Family Fantasy
Dean Parisot,fun with dick and jane,John Michael Higgins,Richard Burgi,David Herman,Comedy Crime
Edward Zwick,the last samurai,Tom Cruise,Tony Goldwyn,Chad Lindberg,Action Drama History War
Ridley Scott,exodus: gods and kings,Christian Bale,María Valverde,Ben Mendelsohn,Action Adventure Drama
J.J. Abrams,star trek,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,Action Adventure Sci-Fi
Sam Raimi,spider-man,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance
Dean DeBlois,how to train your dragon 2,Gerard Butler,Djimon Hounsou,America Ferrera,Action Adventure Animation Comedy Family Fantasy
Alex Proyas,gods of egypt,Gerard Butler,Elodie Yung,Bryan Brown,Action Adventure Fantasy
Rob Cohen,stealth,Sam Shepard,Joe Morton,Richard Roxburgh,Action Adventure Sci-Fi Thriller
Zack Snyder,watchmen,Matt Frewer,Billy Crudup,Stephen McHattie,Action Drama Mystery Sci-Fi
Richard Donner,lethal weapon 4,Jet Li,Rene Russo,Darlene Love,Action Crime Thriller
Ang Lee,hulk,Kevin Rankin,Regi Davis,Celia Weston,Action Sci-Fi
Jon M. Chu,g.i. joe: retaliation,Channing Tatum,Dwayne Johnson,Elodie Yung,Action Adventure Sci-Fi Thriller
Breck Eisner,sahara,Matthew McConaughey,Rainn Wilson,Delroy Lindo,Action Adventure Comedy Thriller
Hironobu Sakaguchi,final fantasy: the spirits within,Steve Buscemi,Ming-Na Wen,Jean Simmons,Action Adventure Animation Fantasy Romance Sci-Fi
Joe Johnston,captain america: the first avenger,Chris Evans,Dominic Cooper,Hayley Atwell,Action Adventure Sci-Fi
Michael Apted,the world is not enough,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,Action Adventure Thriller
Peter Weir,master and commander: the far side of the world,James D'Arcy,Lee Ingleby,David Threlfall,Action Adventure Drama History War
Bill Condon,the twilight saga: breaking dawn - part 2,Robert Pattinson,Kristen Stewart,Taylor Lautner,Adventure Drama Fantasy Romance
George Miller,happy feet 2,Robin Williams,Brad Pitt,Common,Animation Comedy Family Musical
Louis Leterrier,the incredible hulk,Ty Burrell,Peter Mensah,William Hurt,Action Adventure Sci-Fi
unknown,miami vice            ,Don Johnson,Philip Michael Thomas,John Diehl,Action Crime Drama Mystery Thriller
Steven Spielberg,the bfg,Mark Rylance,Penelope Wilton,Rafe Spall,Adventure Family Fantasy
Alejandro G. Iñárritu,the revenant,Leonardo DiCaprio,Tom Hardy,Lukas Haas,Adventure Drama Thriller Western
David Soren,turbo,Ryan Reynolds,Snoop Dogg,Ben Schwartz,Adventure Animation Comedy Family Sport
Gore Verbinski,rango,Johnny Depp,Ray Winstone,Stephen Root,Adventure Animation Comedy Family Western
Eric Darnell,penguins of madagascar,Benedict Cumberbatch,Annet Mahendru,Andy Richter,Adventure Animation Comedy Family
Paul Greengrass,the bourne ultimatum,Matt Damon,Edgar Ramírez,Albert Finney,Action Mystery Thriller
Mark Osborne,kung fu panda,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,Action Adventure Animation Comedy Family
Peyton Reed,ant-man,Judy Greer,Hayley Atwell,T.I.,Action Adventure Comedy Sci-Fi
Francis Lawrence,the hunger games: catching fire,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,Adventure Sci-Fi Thriller
Bill Condon,the twilight saga: breaking dawn - part 2,Robert Pattinson,Kristen Stewart,Taylor Lautner,Adventure Drama Fantasy Romance
Tim Johnson,home,Jim Parsons,Matt Jones,April Winchell,Adventure Animation Comedy Family Fantasy Sci-Fi
Steven Spielberg,war of the worlds,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,Adventure Sci-Fi Thriller
Michael Bay,bad boys ii,Will Smith,Henry Rollins,Jordi Mollà,Action Comedy Crime Thriller
Chris Miller,puss in boots,Salma Hayek,Constance Marie,Amy Sedaris,Action Adventure Animation Comedy Family Fantasy
Phillip Noyce,salt,Angelina Jolie Pitt,Andre Braugher,August Diehl,Action Crime Mystery Thriller
Darren Aronofsky,noah,Anthony Hopkins,Emma Watson,Logan Lerman,Action Adventure Drama
Steven Spielberg,the adventures of tintin,Toby Jones,Mackenzie Crook,Tony Curran,Action Adventure Family Mystery
Alfonso Cuarón,harry potter and the prisoner of azkaban,Daniel Radcliffe,Gary Oldman,Rupert Grint,Adventure Family Fantasy Mystery
Baz Luhrmann,australia,Essie Davis,Bryan Brown,Eddie Baroo,Adventure Drama Romance War
M. Night Shyamalan,after earth,Will Smith,Zoë Kravitz,Glenn Morshower,Action Adventure Sci-Fi
Eric Leighton,dinosaur,Alfre Woodard,D.B. Sweeney,Della Reese,Adventure Animation Family Thriller
Matt Birch,harry potter and the deathly hallows: part ii,Rupert Grint,Dave Legeno,Ralph Ineson,Action Fantasy
Shawn Levy,night at the museum: secret of the tomb,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy
Tom McGrath,megamind,J.K. Simmons,Brad Pitt,Will Ferrell,Action Animation Comedy Family Sci-Fi
Chris Columbus,harry potter and the sorcerer's stone,Daniel Radcliffe,Fiona Shaw,Verne Troyer,Adventure Family Fantasy
Robert Schwentke,r.i.p.d.,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,Action Comedy Fantasy
Hideaki Anno,godzilla resurgence,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Action Adventure Drama Horror Sci-Fi
Gore Verbinski,pirates of the caribbean: the curse of the black pearl,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy
Matt Birch,harry potter and the deathly hallows: part i,Rupert Grint,Toby Jones,Alfred Enoch,Fantasy
Francis Lawrence,the hunger games: mockingjay - part 1,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi Thriller
Ron Howard,the da vinci code,Tom Hanks,Seth Gabel,Jürgen Prochnow,Mystery Thriller
Carlos Saldanha,rio 2,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,Adventure Animation Comedy Family Musical
Bryan Singer,x-men 2,Hugh Jackman,Bruce Davison,Aaron Stanford,Action Adventure Fantasy Sci-Fi Thriller
Justin Lin,fast five,Paul Walker,Vin Diesel,Dwayne Johnson,Action Crime Thriller
Guy Ritchie,sherlock holmes: a game of shadows,Robert Downey Jr.,Eddie Marsan,Paul Anderson,Action Adventure Crime Mystery Thriller
Louis Leterrier,clash of the titans,Liam Neeson,Jason Flemyng,Alexa Davalos,Action Adventure Fantasy
Paul Verhoeven,total recall,Ronny Cox,Rachel Ticotin,Marshall Bell,Action Sci-Fi
John McTiernan,the 13th warrior,Tony Curran,Vladimir Kulich,Clive Russell,Action Adventure History
Tony Gilroy,the bourne legacy,Jeremy Renner,Scott Glenn,Stacy Keach,Action Adventure Thriller
Joel Schumacher,batman & robin,Michael Gough,Vivica A. Fox,John Glover,Action
Ron Howard,how the grinch stole christmas,Clint Howard,T.J. Thyne,Molly Shannon,Comedy Family Fantasy
Roland Emmerich,the day after tomorrow,Jake Gyllenhaal,Dennis Quaid,Sela Ward,Action Adventure Sci-Fi Thriller
John Woo,mission: impossible ii,Tom Cruise,Dougray Scott,Richard Roxburgh,Action Adventure Thriller
Wolfgang Petersen,the perfect storm,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,Action Adventure Drama Thriller
Tim Story,fantastic 4: rise of the silver surfer,Chris Evans,Ioan Gruffudd,Andre Braugher,Action Adventure Sci-Fi Thriller
Ang Lee,life of pi,Suraj Sharma,Rafe Spall,Tabu,Adventure Drama Fantasy
Mark Steven Johnson,ghost rider,Nicolas Cage,Matt Long,Peter Fonda,Action Fantasy Thriller
Paul Greengrass,jason bourne,Matt Damon,Riz Ahmed,Ato Essandoh,Action Thriller
McG,charlie's angels: full throttle,Demi Moore,Bernie Mac,Justin Theroux,Action Adventure Comedy Crime
Ridley Scott,prometheus,Michael Fassbender,Charlize Theron,Sean Harris,Adventure Mystery Sci-Fi
Rob Minkoff,stuart little 2,Nathan Lane,Brad Garrett,Melanie Griffith,Adventure Animation Comedy Family Fantasy
Neill Blomkamp,elysium,Matt Damon,Sharlto Copley,Alice Braga,Action Drama Sci-Fi Thriller
David Twohy,the chronicles of riddick,Vin Diesel,Alexa Davalos,Christina Cox,Action Adventure Sci-Fi Thriller
José Padilha,robocop,Gary Oldman,Abbie Cornish,Jennifer Ehle,Action Crime Sci-Fi Thriller
Lana Wachowski,speed racer,Scott Porter,Kick Gurry,Nicholas Elia,Action Family Sport
James L. Brooks,how do you know,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,Comedy Drama Romance
James Mangold,knight and day,Tom Cruise,Marc Blucas,Jordi Mollà,Action Comedy Romance
Joseph Kosinski,oblivion,Morgan Freeman,Tom Cruise,Zoë Bell,Action Adventure Mystery Sci-Fi
George Lucas,star wars: episode iii - revenge of the sith,Natalie Portman,Christopher Lee,Hayden Christensen,Action Adventure Fantasy Sci-Fi
George Lucas,star wars: episode ii - attack of the clones,Natalie Portman,Christopher Lee,Hayden Christensen,Action Adventure Fantasy Sci-Fi
Pete Docter,"monsters, inc.",Steve Buscemi,John Ratzenberger,James Coburn,Adventure Animation Comedy Family Fantasy
James Mangold,the wolverine,Hugh Jackman,Tao Okamoto,Rila Fukushima,Action Adventure Sci-Fi Thriller
George Lucas,star wars: episode i - the phantom menace,Natalie Portman,Liam Neeson,Ian McDiarmid,Action Adventure Fantasy Sci-Fi
Kirk De Micco,the croods,Ryan Reynolds,Emma Stone,Nicolas Cage,Adventure Animation Comedy Family Fantasy
Frédéric Forestier,asterix at the olympic games,Alain Delon,Santiago Segura,Vanessa Hessler,Adventure Comedy Family Fantasy
John Woo,windtalkers,Nicolas Cage,Roger Willie,Noah Emmerich,Action Drama War
